experiment_id,area_under_curve,master_cpd_id
2,13.701,25393
2,15.789,26870
2,14.942,26874
2,13.315,26914
2,13.072,26956
2,12.984,26972
2,14.791,26979
2,14.222,27871
2,14.005,27872
2,14.077,27894
2,15.916,28172
2,14.638,28183
2,12.863,28452
2,15.433,28784
2,11.385,28801
2,16.074,29985
2,10.607,30371
2,16.038,30620
2,14.261,32372
2,15,32622
2,13.791,33166
2,15.586,35319
2,13.114,36599
2,15.294,37190
2,15.304,37479
2,11.934,44503
2,15.283,44511
2,13.936,44554
2,12.383,44580
2,14.782,45093
2,12.383,46792
2,14.84,48589
2,14.796,50134
2,16.078,50140
2,12.891,50163
2,14.324,50715
2,15.285,50727
2,13.019,50732
2,14.379,50737
2,13.25,50747
2,13.394,50753
2,15,50769
2,14.819,52123
2,14.048,52430
2,13.946,52576
2,14.32,52582
2,10.906,52882
2,15,52928
2,13.478,53556
2,13.411,53705
2,14.677,54210
2,15.888,55307
2,15.979,55512
2,16.115,56703
2,14.535,58339
2,16.628,58442
2,14.292,58472
2,12.662,58566
2,15.431,60218
2,16.277,60679
2,16.956,61097
2,15.653,61674
2,16.299,61724
2,14.21,61775
2,15.096,62111
2,14.433,62602
2,14.748,62690
2,14.112,63349
2,15.619,63578
2,14.962,96171
2,14.504,100490
2,16.355,102193
2,14.206,119769
2,14.105,122255
2,13.361,142931
2,14.348,153820
2,14.587,154846
2,14.848,176181
2,15,182395
2,13.054,183526
2,14.822,185987
2,11.829,199337
2,14.801,255961
2,16.472,267119
2,14.306,272805
2,16.138,277354
2,14.809,290356
2,14.527,345041
2,14.01,347775
2,13.23,347813
2,15.889,348633
2,14.428,348991
2,16.109,348997
2,13.262,349002
2,13.392,349006
2,13.882,350548
2,15.838,351043
2,13.247,362063
2,14.637,362338
2,15,374747
2,13.395,374749
2,12.07,374750
2,14.73,374755
2,12.767,375256
2,11.39,375264
2,15.633,375354
2,14.383,375366
2,13.114,375390
2,15.521,375395
2,14.336,375435
2,14.277,375447
2,14.526,375487
2,15.724,375492
2,17.771,375496
2,13.715,375562
2,13.055,375564
2,14.486,375594
2,15.875,375596
2,14.641,375637
2,14.213,376307
2,15.892,376693
2,16.865,385240
2,16.171,387472
2,15,389297
2,15.49,397964
2,16.763,402775
2,16.151,404070
2,12.254,404452
2,11.944,404566
2,15.859,410270
2,13.645,410703
2,15.81,411714
2,13.894,411716
2,13.533,411717
2,14.922,411719
2,16.166,411720
2,14.089,411722
2,12.515,411724
2,14.807,411726
2,17.263,411727
2,13.461,411731
2,15.497,411733
2,13.854,411734
2,14.063,411737
2,16.066,411738
2,15.497,411739
2,15.18,411742
2,16.009,411749
2,12.553,411770
2,14.767,411774
2,15.551,411792
2,15.415,411805
2,13.294,411808
2,13.557,411809
2,16.302,411814
2,14.711,411815
2,15.251,411816
2,15.313,411820
2,12.534,411824
2,15.616,411827
